,house_室,house_厅,house_厨,house_卫,architecture_acreage_,within_acreage_,Building_head,decorate_situation,period_int,floor_楼,floor_层,Family_structure,building_types,building_age_,building_structure,Ladder_household_proportion,Equipped_elevator,house_age,Trading_ownership,usage_house,houseing_belog,bargain_price,unit_price,listing_price,bargain_day_num_,adjust_price,take_look,attention,view_count_
980,2.0,2.0,1.0,1.0,66.0,66.0,西南,简装,70年,底楼层,1.0,暂无数据,塔楼,2004,钢混结构,一梯四户,有,暂无数据,商品房,普通住宅,暂无数据,206.0,31213,210.0,47.0,0,0,5,47.0
981,2.0,1.0,1.0,1.0,61.0,61.0,北,其他,40年,低楼层,6.0,暂无数据,板楼,2000,钢混结构,一梯七十二户,暂无数据,暂无数据,商品房,商住两用,暂无数据,75.0,12296,75.0,352.0,1,0,21,352.0
982,2.0,2.0,1.0,1.0,75.62,69.44,南,简装,70年,中楼层,9.0,暂无数据,塔楼,1999,钢混结构,一梯四户,无,暂无数据,商品房,普通住宅,暂无数据,257.0,33986,260.0,100.0,0,0,4,100.0
983,1.0,1.0,1.0,1.0,32.24,28.57,西,其他,70年,低楼层,9.0,平层,塔楼,1998,钢混结构,一梯九户,无,暂无数据,商品房,普通住宅,暂无数据,106.0,32879,120.0,1082.0,0,0,31,1082.0
984,2.0,2.0,1.0,1.0,79.0,79.0,北,其他,70年,中楼层,7.0,平层,塔楼,2000,钢混结构,一梯四户,无,暂无数据,商品房,普通住宅,暂无数据,166.0,21013,168.0,1082.0,0,0,0,1082.0
985,2.0,1.0,1.0,1.0,70.0,70.0,南 北,其他,70年,中楼层,7.0,平层,塔楼,2001,钢混结构,一梯五户,无,暂无数据,商品房,普通住宅,暂无数据,298.0,42572,310.0,22.0,0,0,4,22.0
986,3.0,2.0,1.0,2.0,111.0,90.93,南,其他,70年,底楼层,1.0,平层,塔楼,2008,钢混结构,两梯六户,有,暂无数据,商品房,普通住宅,暂无数据,550.0,49550,550.0,49.0,0,0,3,49.0
987,1.0,1.0,1.0,1.0,56.98,51.49,东南,其他,70年,底楼层,1.0,暂无数据,塔楼,2000,钢混结构,一梯四户,无,暂无数据,商品房,普通住宅,暂无数据,325.0,57038,335.0,59.0,0,0,6,59.0
988,2.0,2.0,1.0,1.0,64.38,64.38,北,其他,70年,底楼层,1.0,平层,塔楼,1999,钢混结构,两梯十户,有,暂无数据,商品房,普通住宅,暂无数据,245.0,38056,250.0,343.0,0,0,29,343.0
989,2.0,2.0,1.0,1.0,77.59,77.59,北,其他,70年,底楼层,1.0,平层,塔楼,2000,钢混结构,两梯六户,有,暂无数据,商品房,普通住宅,暂无数据,348.5,44916,353.0,47.0,0,0,14,47.0
990,3.0,2.0,1.0,1.0,89.0,89.0,南,其他,70年,中楼层,9.0,暂无数据,塔楼,1999,钢混结构,一梯六户,无,暂无数据,商品房,普通住宅,暂无数据,295.0,33147,300.0,1082.0,0,0,40,1082.0
991,3.0,1.0,1.0,1.0,82.68,82.68,北,其他,70年,底楼层,1.0,平层,塔楼,2014,钢混结构,两梯六户,有,暂无数据,商品房,普通住宅,暂无数据,331.0,40034,320.0,51.0,0,0,46,51.0
992,2.0,1.0,1.0,1.0,59.26,59.26,北,其他,70年,中楼层,9.0,平层,塔楼,1998,钢混结构,一梯十六户,无,暂无数据,商品房,普通住宅,暂无数据,158.5,26747,160.0,118.0,0,0,90,118.0
993,2.0,1.0,1.0,1.0,52.0,52.0,南,简装,70年,中楼层,9.0,暂无数据,塔楼,1994,钢混结构,一梯八户,无,暂无数据,商品房,普通住宅,共有,125.0,24039,125.0,1082.0,0,0,0,1082.0
994,1.0,0.0,1.0,1.0,22.0,22.0,南 北,其他,70年,中楼层,9.0,平层,塔楼,2008,钢混结构,一梯两户,无,暂无数据,商品房,普通住宅,暂无数据,72.0,32728,72.0,195.0,0,0,21,195.0
995,2.0,1.0,1.0,1.0,52.0,50.0,南,其他,70年,低楼层,9.0,暂无数据,塔楼,1999,钢混结构,一梯六户,无,暂无数据,商品房,普通住宅,暂无数据,150.0,28847,165.0,98.0,0,0,2,98.0
996,2.0,1.0,1.0,1.0,38.69,38.69,东,其他,70年,低楼层,9.0,平层,塔楼,2000,钢混结构,一梯六户,无,暂无数据,商品房,普通住宅,暂无数据,68.6,17731,70.0,182.0,0,0,69,182.0
997,1.0,1.0,1.0,1.0,39.01,32.13,南 北,简装,70年,底楼层,1.0,平层,塔楼,2000,钢混结构,两梯六户,有,满五年,商品房,普通住宅,非共有,182.0,46655,185.0,73.0,0,0,20,73.0
998,2.0,1.0,1.0,1.0,56.11,56.11,南,其他,70年,高楼层,9.0,平层,塔楼,2000,钢混结构,一梯四户,无,暂无数据,商品房,普通住宅,暂无数据,172.0,30655,177.0,191.0,0,0,19,191.0
999,2.0,1.0,1.0,1.0,53.0,53.0,南,简装,70年,中楼层,9.0,平层,塔楼,1999,钢混结构,一梯六户,有,暂无数据,商品房,普通住宅,暂无数据,232.0,43774,240.0,147.0,0,0,79,147.0
1000,3.0,1.0,1.0,1.0,51.5,41.92,东,其他,70年,中楼层,8.0,平层,塔楼,1995,钢混结构,一梯八户,无,暂无数据,商品房,普通住宅,暂无数据,129.0,25049,132.0,216.0,0,0,72,216.0
1001,2.0,2.0,1.0,1.0,72.4,72.4,南,其他,70年,中楼层,6.0,暂无数据,塔楼,1999,钢混结构,一梯四户,无,暂无数据,商品房,普通住宅,暂无数据,245.0,33840,245.0,120.0,1,0,3,120.0
1002,3.0,1.0,1.0,1.0,57.0,57.0,南,其他,70年,低楼层,9.0,平层,塔楼,1997,钢混结构,一梯四户,无,暂无数据,商品房,普通住宅,暂无数据,195.0,34211,195.0,178.0,0,0,71,178.0
1003,2.0,2.0,1.0,1.0,73.0,73.0,北,精装,70年,底楼层,1.0,平层,塔楼,2000,钢混结构,一梯四户,暂无数据,暂无数据,商品房,普通住宅,非共有,207.0,28357,208.0,198.0,0,0,20,198.0
1004,2.0,2.0,1.0,1.0,69.54,69.54,南 北,其他,70年,高楼层,8.0,暂无数据,塔楼,2000,钢混结构,一梯四户,无,暂无数据,商品房,普通住宅,暂无数据,213.0,30630,230.0,744.0,0,0,2,744.0
1005,2.0,2.0,1.0,1.0,68.6,68.6,东北,其他,70年,底楼层,1.0,暂无数据,塔楼,2000,钢混结构,两梯六户,有,满五年,商品房,普通住宅,暂无数据,250.0,36444,255.0,885.0,0,0,7,885.0
1006,2.0,1.0,1.0,1.0,61.51,61.51,东 西,简装,70年,低楼层,8.0,暂无数据,塔楼,1992,钢混结构,一梯四户,无,满五年,商品房,普通住宅,暂无数据,406.6,66104,420.0,838.0,1,0,3,838.0
